CFL,Osram DeluxELLonglife,15000,0.4,240,5,80,2700,Tubular,E14,13.95,1990
CFL,Osram Deluxstar,6000,0.4,250,5,80,2700,Tubular,E14,4.95,1990
CFL,Ostram DeluxD,8000,0.4,1200,18,80,2700,Tubular,G24D2,10,1990
LED,AH Puur&Erlijk,25000,0.65,200,5,85,3000,Pear,E27,16.49,2009
LED,AH Puur&Erlijk Dimbaar,25000,0.65,300,6,85,3000,Pear,E27,24.99,2009
LED,Gamma highpower,25000,0.65,70,2,75,5000,Pear,E27,23.95,2007
LED,Gamma 42,25000,0.65,50,2,70,5000,Pear,E27,22.95,2007
LED,Gamma 15 halogen shape,10000,0.65,16,1,70,5000,Pear,GU10,6.49,2007
LED,Gamma,25000,0.65,20,1.2,70,5000,Pear,E27,9.99,2007
LED,Lemnis Pharox Dimbaar,25000,0.65,336,6,85,3000,Pear,E27,29.95,2009
LED,Osram Phantom classic A,25000,0.55,30,2,75,2700,Reflector,E27,13.95,2007
LED,Osram Phantom classic P,25000,0.55,40,1.6,75,2700,Reflector,E27,13.7,2007
LED,Osram Phantom Globe,25000,0.55,50,3,80,2700,Pear,E27,24.95,2007
LED,Philips Spot Perfect Fit,22000,0.5,105,3,80,3000,Reflector,GU10,39.95,2010
LED,Philips Milky Dimbaar,45000,0.5,186,7,87,2700,Pear,E27,39.95,2010
LED,Philips Spot Dimbaar,45000,0.5,180,7,85,2700,Reflector,GU10,39.95,2010
LED,Philips Novallure,15000,0.45,50,2,80,3000,Pear,E14,16.45,2009
